CREST_Conformer,CREST_energy,Re-Ranked_Conformer,Re-Ranked_SP_Energy,Final_Conformer,Final_Free_Energy,Final_Relative_Energy_kcal
0,0.0,1,-531.787049963,0.0,-531.665026,0.0
2,0.472,0,-531.787502833,1.0,-531.664681,0.2164906050241299
1,0.044,3,-531.786267716,2.0,-531.664529,0.3118719729973336
3,0.538,2,-531.786749932,3.0,-531.66445,0.3614451840148523
17,1.481,7,-531.785154068,4.0,-531.663617,0.8841601809792351
8,1.021,4,-531.785725571,5.0,-531.663547,0.9280858110110125
4,0.854,5,-531.785592823,6.0,-531.663349,1.0523325929826777
6,0.939,9,-531.784696363,7.0,-531.66317,1.1646567039844447
16,1.385,6,-531.785167643,8.0,-531.662843,1.369852147037092
7,0.961,8,-531.784857767,9.0,-531.662789,1.4037376330228788
24,2.019,10,-531.78467701,,,
11,1.124,11,-531.784353343,,,
14,1.241,12,-531.78408705,,,
22,1.87,13,-531.783597166,,,
23,1.967,14,-531.783316033,,,
35,2.682,15,-531.78291134,,,
36,2.695,16,-531.782874729,,,
5,0.929,17,-531.78272307,,,
18,1.714,18,-531.782352136,,,
25,2.034,19,-531.78212917,,,
30,2.435,20,-531.781969011,,,
31,2.579,21,-531.781919131,,,
39,3.054,22,-531.781789443,,,
10,1.076,23,-531.781632816,,,
32,2.64,24,-531.781451741,,,
38,2.787,25,-531.781418284,,,
40,3.13,26,-531.781058766,,,
27,2.161,27,-531.781027809,,,
26,2.156,28,-531.780982124,,,
53,3.949,29,-531.780936497,,,
33,2.649,30,-531.780637084,,,
34,2.651,31,-531.780591337,,,
52,3.519,32,-531.780240626,,,
12,1.141,33,-531.780198418,,,
9,1.058,34,-531.78014415,,,
51,3.516,35,-531.77995776,,,
43,3.28,36,-531.779870023,,,
55,5.463,37,-531.779859989,,,
21,1.843,38,-531.779803501,,,
15,1.279,39,-531.779704536,,,
13,1.181,40,-531.779533737,,,
19,1.742,41,-531.779423131,,,
47,3.337,42,-531.778980619,,,
41,3.197,43,-531.778975186,,,
54,4.62,44,-531.778937354,,,
48,3.342,45,-531.778537699,,,
20,1.742,46,-531.778460943,,,
46,3.336,47,-531.778368852,,,
45,3.331,48,-531.778153678,,,
56,6.559,49,-531.777699076,,,
28,2.165,50,-531.776627494,,,
29,2.18,51,-531.776375769,,,
37,2.7,52,-531.776028894,,,
44,3.284,53,-531.775761118,,,
49,3.355,54,-531.775437255,,,
42,3.268,55,-531.773409942,,,
50,3.479,56,-531.773011852,,,
57,6.903,57,-531.772490856,,,
